id,split,diagnostic_type,diagnostic_subtype,source_mode,eval_eligible,split_policy
1e0f6678,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
1e248995,grpo_holdout,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
1eaf6228,sft_train,numeric_equation,operator_absence,real,true,auto
1ee54412,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
1ef51442,grpo_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
1f0674b0,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
1f0fbe5f,grpo_holdout,numeric_equation,ba_dc_modular_ba_dc_mix,real,true,auto
1f445c5e,grpo_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
1f4c8169,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
207ab66f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
209c43f0,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
21261dc6,grpo_holdout,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
21519be7,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
22288152,eval_holdout,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
224efda1,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
228bd26b,sft_train,numeric_equation,operator_absence,real,true,auto
23800316,grpo_holdout,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
2423926d,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
25eb7b03,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
25f2f2cd,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
26168be6,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
26b716ed,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
26dbd20d,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
2701a005,sft_train,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
274def88,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
275db7d4,sft_train,numeric_equation,operator_absence,real,true,auto
27cec7a9,sft_train,numeric_equation,direct_template_template0134,real,true,auto
286135d3,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
2a73a462,sft_train,numeric_equation,direct_template_template0134,real,true,auto
2aeb5265,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
2af7134e,eval_holdout,numeric_equation,ab_cd_subtraction_ab_cd_mix,real,true,auto
2bc2a65a,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
2beb5851,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
2c8e2e06,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
2cc274cb,sft_train,numeric_equation,direct_template_template3401,real,true,auto
2cf587f6,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
2d3e809c,eval_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
2dd48cac,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
2e044d8e,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
2e2d60b2,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
2e37e963,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
2e9639de,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
2ee39f5f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
2f485a40,sft_train,numeric_equation,direct_template_template0134,real,true,auto
2f5959c9,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
2fb20366,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
3013265c,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
30763ac0,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
30c0d5a2,eval_holdout,numeric_equation,ba_dc_low_confidence_addition,real,true,auto
31eb8247,sft_train,numeric_equation,prefix_postfix_op_prefix,real,true,auto
320d8d2b,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
324f918b,sft_train,numeric_equation,ab_cd_addition_ab_cd_len2,real,true,auto
32815b79,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
32a812cd,eval_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
33093ed0,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
330d5ef1,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
333d93ec,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
3383d4ec,grpo_holdout,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
339149c9,sft_train,numeric_equation,ba_dc_modular_ba_dc_mix,real,true,auto
347477c5,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
348d6225,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
34c563c5,sft_train,numeric_equation,prefix_postfix_op_suffix_rev_if_neg,real,true,auto
35661801,grpo_holdout,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
35672155,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
356e927c,sft_train,numeric_equation,operator_absence,real,true,auto
3580648f,grpo_holdout,numeric_equation,direct_template_template0134,real,true,auto
35a89469,eval_holdout,numeric_equation,direct_template_template0134,real,true,auto
35e12b34,sft_train,numeric_equation,operator_absence,real,true,auto
3687b4bb,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
372bb422,sft_train,numeric_equation,direct_template_template0134,real,true,auto
379d18b7,grpo_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
37a2a7ff,eval_holdout,numeric_equation,direct_template_template0134,real,true,auto
37f04e3e,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
3831c67a,sft_train,numeric_equation,direct_template_template3401,real,true,auto
383889e1,sft_train,numeric_equation,direct_template_template3401,real,true,auto
386b6d03,sft_train,numeric_equation,operator_absence,real,true,auto
3937cbf8,eval_holdout,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
39fd934f,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
3a8a4ebc,sft_train,numeric_equation,prefix_postfix_op_prefix_rev,real,true,auto
3acfa7a4,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
3b51288b,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
3b7e71b2,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
3b9e33f6,sft_train,numeric_equation,ba_dc_low_confidence_addition,real,true,auto
3bf05c35,sft_train,numeric_equation,operator_absence,real,true,auto
3bf0875d,eval_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
3c12aeb9,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
3c424916,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
3c8a4e7c,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
3e42c4f9,sft_train,numeric_equation,ba_dc_modular_ba_dc_mix,real,true,auto
3ec77e36,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
3ee36e0a,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
3efc46c1,sft_train,numeric_equation,direct_template_template0134,real,true,auto
3fa49035,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
4011d4e5,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
40c53743,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
412a209f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
4179c322,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
418895f5,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
41babefd,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
41e6cbfc,sft_train,numeric_equation,direct_template_template3401,real,true,auto
422bc5b4,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len1,real,true,auto
4245e455,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
42553fde,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
427ba852,grpo_holdout,numeric_equation,direct_template_template3401,real,true,auto
42cb233d,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
42d4dcf7,sft_train,numeric_equation,ba_dc_modular_ba_dc_len2,real,true,auto
4350015c,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
43837c5b,sft_train,numeric_equation,direct_template_template0134,real,true,auto
43980e72,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
44398869,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
44a57762,sft_train,numeric_equation,operator_absence,real,true,auto
44e69b7e,grpo_holdout,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
45076dc9,eval_holdout,numeric_equation,prefix_postfix_op_suffix_rev_if_neg,real,true,auto
4530aff6,sft_train,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
45582be0,eval_holdout,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
45dbc1cc,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
45df54db,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
4684abe0,sft_train,numeric_equation,prefix_postfix_op_prefix_rev,real,true,auto
47c368d8,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
47dc6570,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
4895b955,sft_train,numeric_equation,direct_template_template0134,real,true,auto
49578b02,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
49699136,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
49743645,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
49919931,eval_holdout,numeric_equation,ba_dc_low_confidence_modular,real,true,auto
49ac9daf,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
49bc1b7b,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
4a569495,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
4a8eafe3,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
4aabfc3b,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
4aeed935,sft_train,numeric_equation,direct_template_template3401,real,true,auto
4b70414e,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
4bc6e6b5,sft_train,numeric_equation,ab_cd_addition_ab_cd_len2,real,true,auto
4c19c1cb,grpo_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
4c57a53f,sft_train,numeric_equation,prefix_postfix_op_prefix,real,true,auto
4c6cf9d9,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
4cf073bf,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
4d1ae327,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
4d39d098,eval_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
4d714623,sft_train,numeric_equation,ab_cd_addition_ab_cd_mix,real,true,auto
4d8f8111,sft_train,numeric_equation,direct_template_template3401,real,true,auto
4d92de08,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
4dbec546,eval_holdout,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
4dcc1844,eval_holdout,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
4df01584,sft_train,numeric_equation,direct_template_template3401,real,true,auto
4f06e1c0,sft_train,numeric_equation,operator_absence,real,true,auto
4f0e0273,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
4f660f4b,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
4f8da43f,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
4ff92c73,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
5039d1a0,eval_holdout,numeric_equation,operator_absence,real,true,auto
50630ad8,sft_train,numeric_equation,ba_dc_low_confidence_prefix,real,true,auto
50adc396,eval_holdout,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
50adfd54,eval_holdout,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
50c0b6f8,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
50f8e2c0,grpo_holdout,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
5144897d,eval_holdout,numeric_equation,ab_cd_modular_ab_cd_len1,real,true,auto
518d8529,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
51dafb5b,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
528ec0d8,eval_holdout,numeric_equation,prefix_postfix_op_prefix,real,true,auto
52c62a3e,sft_train,numeric_equation,direct_template_template3401,real,true,auto
53b48918,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
54c9bde5,sft_train,numeric_equation,direct_template_template0134,real,true,auto
552e14d7,sft_train,numeric_equation,direct_template_template3401,real,true,auto
55954e3c,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
56343b77,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
56c59dfd,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
5787c3d0,grpo_holdout,numeric_equation,prefix_postfix_op_prefix,real,true,auto
579b4607,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
585b3442,eval_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
58b9492e,sft_train,numeric_equation,ab_cd_modular_ab_cd_len2,real,true,auto
58c4ced1,sft_train,numeric_equation,prefix_postfix_op_prefix_if_neg,real,true,auto
58f63e94,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
59b2cbbf,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
5a763686,sft_train,numeric_equation,direct_template_template0134,real,true,auto
5aeb4ba5,grpo_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
5b06502f,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
5bc9b870,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
5c743e8a,grpo_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
5c938bea,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_mix,real,true,auto
5d055504,sft_train,numeric_equation,operator_absence,real,true,auto
5d44a0b2,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
5d834875,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
5d89a09c,sft_train,numeric_equation,operator_absence,real,true,auto
5d8c51ce,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
5dc0aca5,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len1,real,true,auto
5e67b1a1,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
5eea60e7,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
5f5a73ff,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
5f6798e1,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
5fe8d710,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
605e1c08,grpo_holdout,numeric_equation,direct_template_template0134,real,true,auto
614408ea,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
61766c6f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
61bbcdc3,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
620c2521,eval_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
6385674a,sft_train,numeric_equation,operator_absence,real,true,auto
6402d0ee,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
64fe405e,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
656cfb5f,sft_train,numeric_equation,operator_absence,real,true,auto
65c52214,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
66a0856f,sft_train,numeric_equation,operator_absence,real,true,auto
66c5974c,sft_train,numeric_equation,ab_cd_addition_ab_cd_len2,real,true,auto
67de8e10,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
67f1bc8a,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
680f19b3,sft_train,numeric_equation,direct_template_template0134,real,true,auto
68b9b9a8,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
69197d42,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
691f2f76,sft_train,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
69aa57b3,sft_train,numeric_equation,direct_template_template3401,real,true,auto
69fe4b0d,sft_train,numeric_equation,operator_absence,real,true,auto
6ab04968,grpo_holdout,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
6ac4d8c2,sft_train,numeric_equation,operator_absence,real,true,auto
6b393b81,sft_train,numeric_equation,direct_template_template0134,real,true,auto
6b769a9e,sft_train,numeric_equation,prefix_postfix_op_prefix_rev,real,true,auto
6bd59a1f,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
6bef7413,sft_train,numeric_equation,prefix_postfix_op_prefix_rev,real,true,auto
6c9e4485,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
6cd73bdd,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
6d3b9da4,sft_train,numeric_equation,ba_dc_addition_ba_dc_len2,real,true,auto
6da9eb9a,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
6dda26c0,sft_train,numeric_equation,direct_template_template0134,real,true,auto
6e60b0c5,sft_train,numeric_equation,direct_template_template0134,real,true,auto
6e6f8d9c,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
6f1211e2,eval_holdout,numeric_equation,direct_template_template3401,real,true,auto
6f37d7be,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
6f88e240,sft_train,numeric_equation,operator_absence,real,true,auto
705bb686,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
7195cb7b,sft_train,numeric_equation,ab_cd_addition_ab_cd_len3,real,true,auto
71e02000,sft_train,numeric_equation,direct_template_template0134,real,true,auto
72336119,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
7306613b,eval_holdout,numeric_equation,ba_dc_addition_ba_dc_mix,real,true,auto
743a293d,sft_train,numeric_equation,direct_template_template3401,real,true,auto
744a2570,eval_holdout,numeric_equation,ba_dc_modular_ba_dc_mix,real,true,auto
74b9b0ec,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
74fff108,sft_train,numeric_equation,ab_cd_low_confidence_subtraction,real,true,auto
75032b65,eval_holdout,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
75645166,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
759cbdde,sft_train,numeric_equation,ba_dc_low_confidence_addition,real,true,auto
75eaf687,eval_holdout,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
764b4288,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
7688e06e,sft_train,numeric_equation,ba_dc_low_confidence_subtraction,real,true,auto
76b79a0c,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
76d2ee64,sft_train,numeric_equation,direct_template_template3401,real,true,auto
76e6f646,sft_train,numeric_equation,direct_template_template0134,real,true,auto
773ca8a9,grpo_holdout,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
791056ce,eval_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
791fc537,sft_train,numeric_equation,direct_template_template3401,real,true,auto
794f71ed,eval_holdout,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
79acd75c,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul,real,true,auto
79f29eb5,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul,real,true,auto
7a962e17,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
7a9711b1,sft_train,numeric_equation,operator_absence,real,true,auto
7bd5f8b9,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
7c0c5227,sft_train,numeric_equation,operator_absence,real,true,auto
7c5c7b73,sft_train,numeric_equation,ab_cd_subtraction_ab_cd_len2,real,true,auto
7c72ad99,sft_train,numeric_equation,direct_template_template3401,real,true,auto
7e2e8a95,sft_train,numeric_equation,ab_cd_multiplication_ab_cd_mul_plus1,real,true,auto
7ecdae14,sft_train,numeric_equation,ba_dc_multiplication_ba_dc_mul_pm1,real,true,auto
7ed40e8a,sft_train,numeric_equation,ab_cd_addition_ab_cd_len2,real,true,auto
7ef4d5d6,sft_train,numeric_equation,prefix_postfix_op_prefix,real,true,auto
8011cb24,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
8021718e,eval_holdout,numeric_equation,direct_template_template3401,real,true,auto
806eba07,sft_train,numeric_equation,ba_dc_addition_ba_dc_len3,real,true,auto
808a8f62,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_mix,real,true,auto
80d44fe3,sft_train,numeric_equation,ba_dc_modular_ba_dc_mix,real,true,auto
812c12cb,sft_train,numeric_equation,ba_dc_modular_ba_dc_len2,real,true,auto
8158a14c,sft_train,numeric_equation,ba_dc_subtraction_ba_dc_len2,real,true,auto
81c7ba7a,sft_train,numeric_equation,prefix_postfix_op_prefix,real,true,auto
